FID,fid,the_geom,sample_num,site_name,eastings,Northings,Geology,Rock,Catchment,soil_87sr,_2se,plant_87sr,_2se_1,sp,combined_8
CapeYork_soilplant.74,74,POINT (143.024556 -12.701583),74,Frenchmans Track,143.024556,-12.701583,Jk,Clastic,Olive-Pascoe,0.712801,0.000017,0.713484,0.000009,-0.000341,0.713142
CapeYork_soilplant.75,75,POINT (143.281778 -12.744806),75,Lockhart River,143.281778,-12.744806,nPE,Low Grade Metamorphic,Lockhart,0.719756,0.00001,0.720497,0.000011,-0.00037,0.720126
CapeYork_soilplant.76,76,POINT (143.423667 -12.629194),76,Cape Weymouth,143.423667,-12.629194,Qcd,Marine Sands,Lockhart,0.711782,0.000011,0.711187,0.000011,0.000297,0.711484
CapeYork_soilplant.77,77,POINT (142.939306 -13.088417),77,Batavia Goldfield,142.939306,-13.088417,Dei,Felsic Intrusive,Archer,0.729474,0.000008,0.729777,0.00001,-0.000151,0.729625
CapeYork_soilplant.78,78,POINT (143.315194 -14.301417),78,Ebagoola,143.315194,-14.301417,Dei,Felsic Intrusive,Holroyd,0.740908,0.000016,0.741492,0.000011,-0.000291,0.7412
CapeYork_soilplant.79,79,POINT (142.726556 -14.173056),79,Holroyd,142.726556,-14.173056,K,Clastic,Holroyd,0.71721,0.000014,0.717122,0.000009,0.000044,0.717166
CapeYork_soilplant.80,80,POINT (143.59425 -14.73375),80,Violetvale,143.59425,-14.73375,Qa,Alluvial,Normanby,0.726001,0.00001,0.726886,0.00001,-0.000442,0.726443
CapeYork_soilplant.81,81,POINT (143.839611 -14.519167),81,Marina Plains,143.839611,-14.519167,Cz,Colluvial/Residual,Normanby,0.714366,0.00001,0.713712,0.00001,0.000326,0.714038
CapeYork_soilplant.82,82,POINT (144.028972 -14.741278),82,Bizant,144.028972,-14.741278,Qa,Alluvial,Normanby,0.734735,0.000023,0.733846,0.000011,0.000444,0.73429
CapeYork_soilplant.83,83,,83,Bathurst Head,,,JK,Clastic,Normanby,0.712097,0.000014,0.712097,0.00001,0,0.712096
CapeYork_soilplant.84,84,POINT (144.433804 -14.263368),84,Cape Melville,144.433804,-14.263368,Cpi,Felsic Intrusive,Jeannie,0.719677,0.00001,0.717397,0.000009,0.001139,0.718536
CapeYork_soilplant.85,85,POINT (144.557743 -14.382095),85,Barrow Point,144.557743,-14.382095,D,Clastic,Jeannie,0.715923,0.000013,0.716414,0.000011,-0.000245,0.716168
CapeYork_soilplant.86,86,POINT (144.541083 -14.538611),86,Wakooka,144.541083,-14.538611,Qa,Alluvial,Jeannie,0.723257,0.000008,0.723396,0.000009,-0.000069,0.723326
CapeYork_soilplant.87,87,POINT (144.449167 -15.347806),87,Old Laura,144.449167,-15.347806,Qa,Alluvial,Normanby,0.720553,0.00001,0.720335,0.000009,0.000108,0.720443
CapeYork_soilplant.88,88,POINT (144.690694 -15.295528),88,Battlecamp,144.690694,-15.295528,Cz,Colluvial/Residual,Normanby,0.710881,0.000012,0.710873,0.00001,0.000004,0.710877
CapeYork_soilplant.89,89,POINT (145.034694 -15.332722),89,Hopevale,145.034694,-15.332722,Czv,Mafic Volcanic,Endeavour,0.710577,0.000009,0.710735,0.000009,-0.000079,0.71065
CapeYork_soilplant.90,90,POINT (145.222722 -15.706389),90,Black Mountain,145.222722,-15.706389,Cpi,Felsic Intrusive,Endeavour,0.711567,0.000009,0.710398,0.00001,0.000584,0.710982
CapeYork_soilplant.91,91,POINT (145.273397 -15.743722),91,Rossville,145.273397,-15.743722,D,Clastic,Endeavour,0.729506,0.000012,0.728708,0.000011,0.000399,0.729107
CapeYork_soilplant.92,92,POINT (145.334194 -15.946917),92,Bloomfield,145.334194,-15.946917,D,Clastic,Daintree,0.722696,0.000013,0.720674,0.000011,0.001011,0.721685
CapeYork_soilplant.93,93,POINT (145.461306 -16.087028),93,Cape Tribulation,145.461306,-16.087028,D,Clastic,Daintree,0.711756,0.00001,0.711573,0.000013,0.000091,0.711664
CapeYork_soilplant.94,94,POINT (145.722444 -16.958333),94,Cairns,145.722444,-16.958333,D,Clastic,Barron,0.716317,0.000013,0.718145,0.000011,-0.000913,0.717231
